RIR,Country Code,ASN Number,Allocated Date
afrinic,GM,AS37323,20110426
afrinic,MU,AS37324,20110427
afrinic,ZZ,AS37325,
afrinic,SO,AS37326,20110505
afrinic,MG,AS37327,20110505
afrinic,NG,AS37328,20110510
afrinic,ZW,AS37329,20110510
afrinic,ZZ,AS37330,
afrinic,LS,AS37331,20110517
afrinic,ZW,AS37332,20110523
afrinic,ZA,AS37333,20110523
afrinic,ZA,AS37334,20110525
afrinic,ZZ,AS37335,
afrinic,BI,AS37336,20110526
afrinic,GQ,AS37337,20110527
afrinic,ZZ,AS37338,
afrinic,EG,AS37339,20110609
afrinic,NG,AS37340,20110530
afrinic,GH,AS37341,20110530
afrinic,MZ,AS37342,20110531
afrinic,SC,AS37343,20110531
afrinic,ZW,AS37344,20110606
afrinic,NG,AS37345,20110609
afrinic,KE,AS37346,20110612
afrinic,NG,AS37347,20110614
afrinic,EG,AS37348,20110614
afrinic,TZ,AS37349,20110628
afrinic,GH,AS37350,20110629
afrinic,TN,AS37351,20110701
afrinic,ZA,AS37352,20130802
afrinic,ZA,AS37353,20110707
afrinic,KE,AS37354,20110707
afrinic,ZW,AS37355,20110707
afrinic,ZA,AS37356,20110712
afrinic,ZA,AS37357,20110713
afrinic,ZA,AS37358,20110713
afrinic,TZ,AS37359,20110714
afrinic,ZZ,AS37360,
afrinic,ZZ,AS37361,
afrinic,TZ,AS37362,20110720
afrinic,ZA,AS37363,20110721
afrinic,TZ,AS37364,20110721
afrinic,ZZ,AS37365,
afrinic,AO,AS37366,20110803
afrinic,ZZ,AS37367,
afrinic,ZA,AS37368,20110815
afrinic,NG,AS37369,20110824
afrinic,ZZ,AS37370,
afrinic,SO,AS37371,20110905
afrinic,ZZ,AS37372,
afrinic,GH,AS37373,20110907
afrinic,ZM,AS37374,20110908
afrinic,ZZ,AS37375,
afrinic,SS,AS37376,20110912
afrinic,NG,AS37377,20110912
afrinic,ZZ,AS37378,
afrinic,MU,AS37379,20110916
afrinic,ZZ,AS37380,
afrinic,CI,AS37381,20110923
afrinic,ZZ,AS37382,
afrinic,AO,AS37383,20111012
afrinic,AO,AS37384,20111012
afrinic,NE,AS37385,20111014
afrinic,UG,AS37386,20111018
afrinic,ZA,AS37387,20111019
afrinic,ZZ,AS37388,
afrinic,ZZ,AS37389,
afrinic,GA,AS37390,20111104
afrinic,ZW,AS37391,20111107
afrinic,GH,AS37392,20111107
afrinic,ZZ,AS37393,
afrinic,ZA,AS37394,20111116
afrinic,BW,AS37395,20111117
afrinic,ZZ,AS37396,
afrinic,ZZ,AS37397,
afrinic,NG,AS37398,20111124
afrinic,ZA,AS37399,20111124
afrinic,ZZ,AS37400,
afrinic,ZZ,AS37401,
afrinic,ZA,AS37402,20111208
afrinic,ZA,AS37403,20111208
afrinic,NG,AS37404,20111209
afrinic,NG,AS37405,20111212
afrinic,SS,AS37406,20111212
afrinic,NG,AS37407,20111215
afrinic,UG,AS37408,20111221
afrinic,ZZ,AS37409,
afrinic,LR,AS37410,20120118
afrinic,ZA,AS37411,20120119
afrinic,ZA,AS37412,20120120
afrinic,ZA,AS37413,20120120
afrinic,CD,AS37414,20120126
afrinic,CD,AS37415,20120131
afrinic,NG,AS37416,20120131
afrinic,ZA,AS37417,20120203
afrinic,SL,AS37418,20120208
afrinic,TZ,AS37419,20120209
afrinic,NG,AS37420,20120213
afrinic,KE,AS37421,20120220
afrinic,ZZ,AS37422,
